UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD 
120971,R,1008,R,44,R,36,A,.,R,1008,R,44,R,36,A,.,R,5184,R,44,R,180,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,560,R,45,R,605,R,772,R,54,R,826,R,772,R,54,R,826,R,1008,R,44,R,1052,.,.,R,560,R,45,R,605,R,772,R,54,R,826,R,772,R,54,R,826,R,1008,R,44,R,1052,.,.,R,5572,R,45,R,5617,R,5320,R,54,R,5374,R,5180,R,54,R,5234,R,5040,R,44,R,5084,.,.,R,1564,R,1638,R,1700,R,1656,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9486,R,10036,R,10494,R,10854,R,3936,R,4070,R,4160,R,4058,R,3936,R,4070,R,4160,R,4184,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121044,R,912,R,48,R,36,A,.,R,912,R,48,R,36,A,.,R,6096,R,48,R,254,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,548,R,28,R,576,R,672,R,28,R,700,R,672,R,28,R,700,R,912,R,48,R,960,.,.,R,548,R,28,R,576,R,672,R,28,R,700,R,672,R,28,R,700,R,912,R,48,R,960,.,.,R,4852,R,28,R,4880,R,5184,R,28,R,5212,R,5232,R,28,R,5260,R,6096,R,48,R,6144,.,.,R,1566,R,1638,R,1620,R,1656,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9054,R,9710,R,9710,R,9710,R,4032,R,5148,R,5148,R,5148,R,3962,R,5040,R,5040,R,5040,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121071,R,13440,R,0,R,560,A,.,R,13440,Z,0,R,560,A,.,R,13440,Z,0,R,560,A,.,R,10080,R,0,R,560,R,10080,Z,0,R,560,R,10080,Z,0,R,560,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,12480,R,0,R,12480,R,13440,R,0,R,13440,R,13440,R,0,R,13440,R,13440,R,0,R,13440,.,.,R,12480,R,0,R,12480,R,13440,R,0,R,13440,R,13440,R,0,R,13440,R,13440,R,0,R,13440,.,.,R,12480,R,0,R,12480,R,13440,R,0,R,13440,R,13440,R,0,R,13440,R,13440,R,0,R,13440,.,.,R,1566,R,1638,R,1638,R,1638,R,6980,R,7090,R,7390,R,7390,R,2214,R,2250,R,2250,R,2250,R,10152,R,10872,R,10872,R,10872,R,2754,R,2826,R,2826,R,2826,R,2754,R,3096,R,3096,R,3096,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121150,R,40500,R,252,R,1266,A,.,R,40500,R,252,R,1266,A,.,R,40500,R,252,R,1266,A,.,R,30384,R,252,R,1266,R,30384,R,252,R,1266,R,30384,R,252,R,1266,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,42780,R,60,R,42780,R,60,R,36650,R,120,R,36770,R,37730,R,120,R,37850,R,38960,R,120,R,39080,R,40500,R,252,R,40752,.,.,R,36650,R,120,R,36770,R,37730,R,120,R,37850,R,38960,R,120,R,39080,R,40500,R,252,R,40752,.,.,R,36650,R,120,R,36770,R,37730,R,120,R,37850,R,38960,R,120,R,39080,R,40500,R,252,R,40752,.,.,R,1000,R,1200,R,1200,R,1200,R,10480,R,10900,R,11390,R,11844,R,1500,R,1500,R,1500,R,1500,R,10480,R,10900,R,11390,R,11844,R,1500,R,1500,R,1500,R,1500,R,1500,R,1500,R,1500,R,1500,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121257,R,38832,R,3718,R,4854,A,.,R,38832,R,3718,R,4854,A,.,R,38832,R,3718,R,4854,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,34500,R,3370,R,37870,R,35840,R,3490,R,39330,R,37520,R,3610,R,41130,R,38832,R,3718,R,42550,.,.,R,34500,R,3370,R,37870,R,35840,R,3490,R,39330,R,37520,R,3610,R,41130,R,38832,R,3718,R,42550,.,.,R,34500,R,3370,R,37870,R,35840,R,3490,R,39330,R,37520,R,3610,R,41130,R,38832,R,3718,R,42550,.,.,R,1000,R,1000,R,1000,R,1000,R,10930,R,11440,R,11950,R,12438,R,1000,R,1000,R,1000,R,1000,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121275,R,25120,R,0,A,.,A,.,R,25120,Z,0,A,.,A,.,R,25120,Z,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,22720,R,0,R,22720,R,23250,R,0,R,23250,R,23250,R,0,R,23250,R,23250,R,0,R,23250,.,.,R,22720,R,0,R,22720,R,23250,R,0,R,23250,R,23250,R,0,R,23250,R,23250,R,0,R,23250,.,.,R,22720,R,0,R,22720,R,23250,R,0,R,23250,R,23250,R,0,R,23250,R,23250,R,0,R,23250,.,.,R,1648,R,1808,R,1870,R,1870,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13536,R,14496,R,14640,R,14484,R,5160,R,5328,R,5196,R,5412,R,9630,R,11304,R,13404,R,11376,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121309,R,27700,R,610,R,1155,A,.,R,27700,R,610,R,1155,A,.,R,27700,R,610,R,1155,A,.,R,9630,R,100,R,535,R,9630,R,100,R,535,R,9630,R,100,R,535,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,24580,R,540,R,25120,R,25300,R,540,R,25840,R,26500,R,600,R,27100,R,27700,R,610,R,28310,.,.,R,24580,R,540,R,25120,R,25300,R,540,R,25840,R,26500,R,600,R,27100,R,27700,R,610,R,28310,.,.,R,24580,R,540,R,25120,R,25300,R,540,R,25840,R,26500,R,600,R,27100,R,27700,R,610,R,28310,.,.,R,1566,R,1638,R,1620,R,1656,R,8170,R,8100,R,8600,R,8800,R,3220,R,3042,R,2979,R,3096,R,10152,R,10872,R,10980,R,10863,R,4238,R,3996,R,3897,R,4059,R,4340,R,4140,R,4041,R,4185,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121345,R,39572,R,310,R,1649,A,.,R,39572,R,310,R,1649,A,.,R,39572,R,310,R,1649,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,35318,R,307,R,35625,R,36710,R,307,R,37017,R,38087,R,307,R,38394,R,39572,R,311,R,39883,.,.,R,35318,R,307,R,35625,R,36710,R,307,R,37017,R,38087,R,307,R,38394,R,39572,R,311,R,39883,.,.,R,35318,R,307,R,35625,R,36710,R,307,R,37017,R,38087,R,307,R,38394,R,39572,R,311,R,39883,.,.,R,900,R,900,R,900,R,900,R,12220,R,12651,R,13096,R,13386,R,1000,R,1100,R,1100,R,1150,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121363,R,1008,R,34,R,36,A,.,R,1008,R,34,R,36,A,.,R,5852,R,874,R,209,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,560,R,34,R,594,R,728,R,34,R,762,R,728,R,34,R,762,R,1008,R,34,R,1042,.,.,R,560,R,34,R,594,R,728,R,34,R,762,R,728,R,34,R,762,R,1008,R,34,R,1042,.,.,R,6076,R,34,R,6110,R,6356,R,34,R,6390,R,5880,R,892,R,6772,R,5852,R,874,R,6726,.,.,R,1500,R,1638,R,1638,R,1638,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6500,R,8500,R,8500,R,8500,R,3150,R,3996,R,3996,R,3996,R,3150,R,3194,R,3194,R,3194,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121381,R,14765,R,255,R,357,A,.,R,14765,R,255,R,357,A,.,R,14765,R,255,R,357,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13446,R,255,R,13701,R,13957,R,255,R,14212,R,14062,R,255,R,14317,R,14765,R,255,R,15020,.,.,R,13446,R,255,R,13701,R,13957,R,255,R,14212,R,14062,R,255,R,14317,R,14765,R,255,R,15020,.,.,R,13446,R,255,R,13701,R,13957,R,255,R,14212,R,14062,R,255,R,14317,R,14765,R,255,R,15020,.,.,R,1081,R,1085,R,1094,R,2130,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6473,R,7353,R,7552,R,7454,R,6220,R,7654,R,8181,R,8075,R,8250,R,9754,R,10227,R,10094,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121619,R,864,R,34,R,36,A,.,R,864,R,34,R,36,A,.,R,4800,R,34,R,200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,480,R,28,R,508,R,624,R,28,R,652,R,624,R,34,R,658,R,864,R,34,R,898,.,.,R,480,R,28,R,508,R,624,R,28,R,652,R,624,R,34,R,658,R,864,R,34,R,898,.,.,R,4584,R,28,R,4612,R,5184,R,28,R,5212,R,5424,R,34,R,5458,R,4800,R,34,R,4834,.,.,R,1500,R,1500,R,1500,R,1500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10600,R,10600,R,10600,R,10600,R,3400,R,3400,R,3400,R,3400,R,3400,R,3400,R,3400,R,3400,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121628,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,19725,Z,0,A,.,R,19725,Z,0,A,.,R,19725,Z,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121691,R,37002,R,300,R,1150,A,.,R,37002,R,300,R,1150,A,.,R,37002,R,300,R,1150,A,.,R,14400,R,148,R,800,R,14400,R,148,R,800,R,14400,R,148,R,800,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,31994,R,300,R,32294,R,33594,R,300,R,33894,R,35240,R,300,R,35540,R,37002,R,300,R,37302,.,.,R,31994,R,300,R,32294,R,33594,R,300,R,33894,R,35240,R,300,R,35540,R,37002,R,300,R,37302,.,.,R,31994,R,300,R,32294,R,33594,R,300,R,33894,R,35240,R,300,R,35540,R,37002,R,300,R,37302,.,.,R,1566,R,1638,R,1650,R,1650,R,10122,R,10472,R,10832,R,11206,R,2200,R,2351,R,2350,R,3134,R,6078,R,8842,R,10470,R,10864,R,2750,R,2927,R,3000,R,4084,R,3024,R,3197,R,4300,R,4244,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121707,R,864,R,24,R,36,A,.,R,864,R,24,R,36,A,.,R,5496,R,24,R,229,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,600,R,24,R,624,R,624,R,24,R,648,R,624,R,24,R,648,R,864,R,24,R,888,.,.,R,600,R,24,R,624,R,624,R,24,R,648,R,624,R,24,R,648,R,864,R,24,R,888,.,.,R,5736,R,24,R,5760,R,6048,R,24,R,6072,R,6048,R,24,R,6072,R,5496,R,24,R,5520,.,.,R,1330,R,1330,R,1638,R,1638,R,6246,R,6246,R,7050,R,7117,R,2500,R,2500,R,2438,R,2488,R,8270,R,8270,R,8700,R,8700,R,3500,R,3500,R,3446,R,3466,R,3200,R,3200,R,3152,R,3214,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121886,R,864,R,53,R,36,A,.,R,864,R,53,R,36,A,.,R,5256,R,53,R,219,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,480,R,46,R,526,R,624,R,46,R,670,R,624,R,42,R,666,R,864,R,53,R,917,.,.,R,480,R,46,R,526,R,624,R,46,R,670,R,624,R,42,R,666,R,864,R,53,R,917,.,.,R,4560,R,46,R,4606,R,4704,R,46,R,4750,R,5016,R,46,R,5062,R,5256,R,53,R,5309,.,.,R,1600,R,1638,R,1638,R,1656,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10700,R,10872,R,10872,R,10867,R,3000,R,3996,R,3996,R,4059,R,3000,R,3996,R,3996,R,4185,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121901,R,1080,R,37,R,36,A,.,R,1080,R,37,R,36,A,.,R,6360,R,37,R,212,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,600,R,32,R,632,R,780,R,34,R,814,R,780,R,37,R,817,R,1080,R,37,R,1117,.,.,R,600,R,32,R,632,R,780,R,34,R,814,R,780,R,37,R,817,R,1080,R,37,R,1117,.,.,R,6122,R,32,R,6154,R,6210,R,34,R,6244,R,6270,R,34,R,6304,R,6360,R,34,R,6394,.,.,R,1566,R,1638,R,1620,R,1656,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10700,R,12086,R,10980,R,10864,R,3870,R,3996,R,3898,R,4060,R,3870,R,3996,R,4392,R,4348,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
121983,R,12240,R,372,R,560,A,.,R,12240,R,372,R,560,A,.,R,12240,R,372,R,560,A,.,R,17520,R,395,R,730,R,17520,R,395,R,730,R,17520,R,395,R,730,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11520,R,372,R,11892,R,12240,R,372,R,12612,R,12960,R,372,R,13332,R,12240,R,372,R,12612,.,.,R,11520,R,372,R,11892,R,12240,R,372,R,12612,R,12960,R,372,R,13332,R,12240,R,372,R,12612,.,.,R,11520,R,372,R,11892,R,12240,R,372,R,12612,R,12960,R,372,R,13332,R,12240,R,372,R,12612,.,.,R,2000,R,2000,R,1000,R,1000,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,12000,R,12000,R,5780,R,9656,R,7200,R,7710,R,6260,R,3608,R,7200,R,7710,R,10247,R,7584,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
122117,R,6612,R,400,R,125,A,.,R,6612,R,400,R,125,A,.,R,6612,R,400,R,125,A,.,R,6612,R,400,R,125,R,6612,R,400,R,125,R,6612,R,400,R,125,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
122180,R,0,R,972,R,36,A,.,R,0,R,972,R,36,A,.,R,5346,R,972,R,234,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,0,R,590,R,590,R,0,R,654,R,654,R,0,R,644,R,644,R,0,R,972,R,972,.,.,R,0,R,590,R,590,R,0,R,654,R,654,R,0,R,644,R,644,R,0,R,972,R,972,.,.,R,5068,R,590,R,5658,R,4560,R,654,R,5214,R,5004,R,644,R,5648,R,5346,R,972,R,6318,.,.,R,1440,R,1638,R,1620,R,1656,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8840,R,10872,R,11556,R,10862,R,3346,R,3966,R,3936,R,4060,R,3250,R,4110,R,3810,R,4320,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
122205,R,728,R,34,R,26,A,.,R,728,R,34,R,26,A,.,R,4660,R,34,R,190,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,480,R,32,R,512,R,624,R,34,R,658,R,728,R,34,R,762,R,728,R,34,R,762,.,.,R,480,R,32,R,512,R,624,R,34,R,658,R,728,R,34,R,762,R,728,R,34,R,762,.,.,R,4344,R,32,R,4376,R,4560,R,34,R,4594,R,4660,R,34,R,4694,R,4660,R,34,R,4694,.,.,R,1566,R,1638,R,1638,R,1638,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10152,R,10872,R,11556,R,11556,R,3870,R,5634,R,5670,R,5670,R,3870,R,5634,R,5670,R,5670,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
